Word,CNC_M
journal,6.147
lagoon,6.147
postal_service,6.147
animal_group,6.147
rooster,6.147
staple,6.147
stern,6.147
cellar,6.143
father,6.143
gorge,6.143
lock,6.143
pence,6.143
rainbow,6.143
veterinarian,6.143
monk,6.133
wigwam,6.129
alley,6.125
desert,6.125
wine,6.125
square,6.125
wrestler,6.125
cafe,6.121
cervix,6.121
cube,6.121
dinner,6.121
headlights,6.121
stubble,6.121
tornado,6.121
dough,6.118
dungeon,6.118
hook,6.118
liquid,6.118
moss,6.118
gift,6.118
tail_fin,6.118
ski,6.118
snack,6.118
fish,6.118
feces,6.118
waiter,6.118
courtyard,6.118
zoo,6.118
candy,6.114
carpenter,6.114
penis,6.114
crystal,6.114
earthquake,6.114
medallion,6.114
pastry,6.114
sister,6.114
yarn,6.114
army,6.103
jam,6.1
mill,6.1
pole,6.097
radio,6.097
children,6.094
hay,6.094
hoof,6.094
mast,6.094
mustard,6.094
taser,6.094
ticket,6.094
bowel,6.091
prostitute,6.091
Mum,6.091
plot,6.091
pool,6.091
queen,6.091
ruler,6.091
scars,6.091
spear,6.091
stalk,6.091
coach,6.091
chess,6.088
employer,6.088
gem,6.088
iron,6.088
jewels,6.088
man,6.088
petrol,6.088
rust,6.088
scar,6.088
trimmer,6.088
veal,6.088
finger,6.086
dove,6.086
glacier,6.086
motor,6.086
pecan,6.086
planing,6.086
pudding,6.086
scale,6.086
thesaurus,6.086
wound,6.086
orchestra,6.075
face,6.067
reef,6.065
bark,6.063
bridle,6.063
icing,6.063
package,6.063
playing_field,6.063
vicar,6.063
knots,6.061
leash,6.061
ribbon,6.059
businessman,6.059
document,6.059
exam,6.059
navel,6.059
tapestry,6.059
theatre,6.059
tube,6.059
blood,6.057
board,6.057
cloud,6.057
comet,6.057
vehicle,6.057
correspondence,6.057
supply_chamber,6.057
meadow,6.057
sea,6.057
stream,6.057
torch,6.057
twin,6.057
vomit,6.057
tanker,6.036
pottery,6.035
prince,6.035
pulley,6.035
arrows,6.033
avalanche,6.033
bayonet,6.033
chest,6.033
heart,6.033
frock,6.032
leprosy,6.032
plantation,6.032
quay,6.032
rubble,6.032
viola,6.032
actress,6.031
balloon,6.031
gallery,6.031
leaflet,6.031
nurse,6.031
swimmer,6.031
tennis,6.031
toys,6.031
crumb,6.03
hernia,6.03
hurricane,6.03
joiner,6.03
lightning,6.03
swim,6.03
wing,6.03
asteroid,6.029
ball,6.029
boss,6.029
climber,6.029
container,6.029
corner,6.029
fig,6.029
flood,6.029
herb,6.029
hound,6.029
mask,6.029
miner,6.029
mustang,6.029
pope,6.029
poultry,6.029
rash,6.029
scalpel,6.029
son,6.029
spaceship,6.029
spit,6.029
sponge,6.029
sticking,6.029
storage_tank,6.029
valley,6.029
veteran,6.029
deck,6.028
coast,6.015
architect,6
arse,6
bazooka,6
belly,6
bishop,6
bridle,6
blouse,6
body,6
brassiere,6
calendar,6
church,6
conductor,6
callosity,6
cut,6
diver,6
drummer,6
dwarf,6
elm,6
father,6
florist,6
hovercraft,6
hydrant,6
infant,6
traffic_jam,6
kipper,6
pedestal,6
lynx,6
mall,6
mother,6
pail,6
park,6
portrait,6
prairie,6
quarry,6
ribs,6
robe,6
saloon,6
stage,6
star,6
suit,6
sunset,6
village,6
whisker,6
bandage,5.971
basement,5.971
boxing,5.971
cave,5.971
chip,5.971
cradle,5.971
dirt,5.971
husband,5.971
murderer,5.971
nectar,5.971
officer,5.971
platter,5.971
ranch,5.971
shore,5.971
trash,5.971
ammunition,5.97
packet,5.97
plank,5.97
stem,5.97
fabric,5.97
stairwell,5.969
cut,5.969
flint,5.969
seal,5.969
claw,5.968
foam,5.968
hall,5.968
banner,5.967
carp,5.967
penthouse,5.967
wand,5.967
truncheon,5.958
sweat,5.944
computer,5.943
blonde,5.943
clove,5.943
Facebook,5.943
noose,5.943
gallon,5.943
wrapper,5.943
corner,5.941
crust,5.941
daughter,5.941
inn,5.941
lights,5.941
mask,5.941
nephew,5.941
planet,5.941
plaster,5.941
straw,5.941
cheek,5.939
politician,5.939
scientist,5.939
sparrow,5.939
credit_union,5.938
corridor,5.938
creek,5.938
movie,5.938
album,5.936
fut,5.936
grandpa,5.936
maids,5.936
photo,5.936
steroids,5.936
crops,5.933
cymbals,5.933
blimp,5.931
plumber,5.931
quill,5.931
axle,5.929
city,5.929
griddle,5.926
dresser,5.914
cage,5.914
pussy,5.914
bullet,5.914
swamp,5.914
coach,5.912
jelly,5.912
picture,5.912
poker,5.912
heatbeat,5.912
tape,5.912
structure,5.909
path,5.909
ruby,5.909
shotgun,5.909
vulture,5.909
abbey,5.906
anus,5.906
riverbank,5.906
bongo,5.906
chute,5.906
flour,5.906
stain,5.906
tumour,5.906
aspirin,5.903
bridegroom,5.903
photographer,5.903
wholesaler,5.903
emerald,5.9
bridesmaid,5.886
club,5.886
raindrop,5.886
gag,5.886
hostess,5.886
patient,5.886
message,5.886
pulpit,5.885
blubber,5.882
smudge,5.882
staff,5.882
string,5.882
bald,5.879
comedian,5.879
decorator,5.879
sports_fan,5.879
jackal,5.879
jockey,5.879
judge,5.879
kiosk,5.879
text,5.879
toga,5.879
trailer,5.879
acrobat,5.875
altar,5.875
crowd,5.875
garter,5.875
roast,5.875
nursery,5.875
spa,5.871
dome,5.867
rocket,5.867
wrench,5.867
money,5.857
inspector,5.857
midget,5.857
cards,5.857
drink,5.857
breakfast,5.853
port,5.853
playing_card,5.853
birth,5.849
film,5.849
infirmary,5.849
ironing,5.849
punch,5.849
technician,5.849
whistle,5.849
beggar,5.844
lager,5.844
puke,5.844
smile,5.844
spire,5.844
spurs,5.844
perfume,5.839
attendant,5.829
cough,5.829
pound,5.829
trial,5.829
yard,5.829
cell,5.824
column,5.824
colonel,5.824
litter,5.824
criminal,5.818
drugs,5.818
driving,5.818
file,5.818
mail,5.818
leader,5.818
screw,5.818
shooting,5.818
ton,5.818
yarn,5.818
accountant,5.813
stick,5.813
animal,5.813
geologist,5.813
pus,5.813
town,5.813
cape,5.807
coach,5.807
hockey,5.807
knock,5.807
nanny,5.807
neighbour,5.807
pupil,5.807
bouquet,5.8
eat,5.8
fuel,5.8
honey,5.8
insecticide,5.8
parade,5.8
text,5.8
tomahawk,5.8
vaccination,5.8
backwash,5.8
colonel,5.794
frame,5.794
headquarters,5.794
heroin,5.794
Mummy,5.794
shooting,5.794
temple,5.794
vessel,5.794
periodical,5.793
traffic,5.793
armoury,5.788
riverbank,5.788
brow,5.788
cavity,5.788
parcel,5.788
band,5.781
crucifix,5.781
garment,5.781
hanky,5.781
swing,5.781
maize,5.774
bronze,5.771
keg,5.771
face,5.771
injection,5.771
piston,5.769
cells,5.767
bosom,5.765
number,5.765
funeral,5.765
matron,5.765
poison,5.765
sailor,5.765
veil,5.765
wrestling,5.765
weapon,5.758
sail,5.758
sew,5.758
stagecoach,5.758
large,5.758
workhouse,5.758
wound,5.758
roast,5.75
cyclone,5.75
market,5.75
mucous,5.75
apoplexy,5.75
explorer,5.743
ironing,5.743
skyline,5.743
hair,5.742
beans,5.742
abdominal,5.735
barrier,5.735
coral,5.735
drawing,5.735
gadget,5.735
slope,5.735
mixture,5.735
food,5.735
watch,5.735
player,5.733
cleaner,5.727
crop,5.727
estate,5.727
intersection,5.727
fellatio,5.727
friend,5.727
aisle,5.719
cricket,5.719
plough,5.719
bank,5.714
building_complex,5.714
concert,5.714
fart,5.714
grease,5.714
landscape,5.714
blue,5.714
queue,5.71
tennis,5.71
war,5.71
admiral,5.706
archery,5.706
fiddle,5.706
nucleus,5.706
pine,5.706
property,5.706
rattle,5.706
shield,5.706
sport,5.706
actor,5.7
auctioneer,5.7
pumps,5.7
assassin,5.697
attacker,5.697
audience,5.697
brunette,5.697
clover,5.697
handle,5.697
lump,5.697
skiing,5.697
slap,5.697
smoker,5.697
rugby,5.69
video,5.69
barge,5.688
campus,5.688
dummy,5.688
germs,5.688
letter_of_the_alphabet,5.688
cannabis,5.688
slab,5.688
vaccine,5.688
ashes,5.686
burial,5.686
tennis_court,5.686
executioner,5.686
kiss,5.686
post,5.686
table,5.686
wedding,5.686
ivory,5.679
aunt,5.677
dust,5.677
dye,5.677
glitter,5.677
herring,5.677
obesity,5.677
performer,5.677
princess,5.677
vitamin,5.677
court_of_law,5.667
henchman,5.667
isle,5.667
millionaire,5.667
niece,5.667
whalebone,5.667
bunk,5.657
clam,5.657
foil,5.657
kneel,5.657
slide,5.657
butler,5.656
costume,5.656
root,5.656
shade,5.656
groom,5.647
lane,5.647
payroll,5.647
world,5.647
mural,5.645
movie,5.643
carcass,5.636
choir,5.636
clergy,5.636
coaster,5.636
composer,5.636
editor,5.636
graph,5.636
net,5.636
colleage,5.636
ensemble,5.629
navy,5.629
parlour,5.625
salsa,5.625
shrew,5.625
baggage,5.621
award,5.618
bacteria,5.618
country,5.618
cowboy,5.618
priest,5.618
litre,5.618
manager,5.618
military,5.618
organism,5.618
blockage,5.618
psychologist,5.618
ranger,5.618
