word,pos,mode,category
rejection,NOUN,emotion,anger
resentment,NOUN,emotion,anger
restiveness,NOUN,emotion,anger
spite,NOUN,emotion,anger
sullenness,NOUN,emotion,anger
surliness,NOUN,emotion,anger
vehemence,NOUN,emotion,anger
waspishness,NOUN,emotion,anger
wrath,NOUN,emotion,anger
skepticism,NOUN,emotion,anger
suspicion,NOUN,emotion,anger
tension,NOUN,emotion,anger
vexation,NOUN,emotion,anger
acceptance,NOUN,emotion,surprise
amazement,NOUN,emotion,surprise
astonishment,NOUN,emotion,surprise
awe,NOUN,emotion,surprise
bafflement,NOUN,emotion,surprise
befuddlement,NOUN,emotion,surprise
bemusement,NOUN,emotion,surprise
bewilderment,NOUN,emotion,surprise
captivation,NOUN,emotion,surprise
certainty,NOUN,emotion,surprise
confusion,NOUN,emotion,surprise
disappointment,NOUN,emotion,surprise
disbelief,NOUN,emotion,surprise
discombobulation,NOUN,emotion,surprise
expectancy,NOUN,emotion,surprise
grogginess,NOUN,emotion,surprise
perplexity,NOUN,emotion,surprise
puzzlement,NOUN,emotion,surprise
shock,NOUN,emotion,surprise
surprise,NOUN,emotion,surprise
stupefaction,NOUN,emotion,surprise
uncertainty,NOUN,emotion,surprise
tipsiness,NOUN,emotion,surprise
wooziness,NOUN,emotion,surprise
ambivalence,NOUN,emotion,disgust
contempt,NOUN,emotion,disgust
conviction,NOUN,emotion,disgust
disgust,NOUN,emotion,disgust
disillusionment,NOUN,emotion,disgust
disapproval,NOUN,emotion,disgust
disdain,NOUN,emotion,disgust
disgrace,NOUN,emotion,disgust
disrespect,NOUN,emotion,disgust
distaste,NOUN,emotion,disgust
embarrassment,NOUN,emotion,disgust
humiliation,NOUN,emotion,disgust
shame,NOUN,emotion,disgust
awareness,NOUN,emotion,intensity
boredom,NOUN,emotion,intensity
calm,NOUN,emotion,intensity
distraction,NOUN,emotion,intensity
earnestness,NOUN,emotion,intensity
emotion,NOUN,emotion,intensity
ennui,NOUN,emotion,intensity
iciness,NOUN,emotion,intensity
indifference,NOUN,emotion,intensity
intensity,NOUN,emotion,intensity
zealousness,NOUN,emotion,intensity
invigoration,NOUN,emotion,intensity
excitement,NOUN,emotion,intensity
apathy,NOUN,emotion,desire
avidity,NOUN,emotion,desire
keenness,NOUN,emotion,desire
passion,NOUN,emotion,desire
delirium,NOUN,emotion,desire
desire,NOUN,emotion,desire
disinterest,NOUN,emotion,desire
eagerness,NOUN,emotion,desire
enthrallment,NOUN,emotion,desire
fervency,NOUN,emotion,desire
hysteria,NOUN,emotion,desire
infatuation,NOUN,emotion,desire
longing,NOUN,emotion,desire
lust,NOUN,emotion,desire
temptation,NOUN,emotion,desire
